exhibition_id,museum_id,curator_staff_id,exhibition_name,exhibition_type,start_date,end_date,visitor_count
EXH001,MUS099,STF483,Lights of Time,Traveling,2015-03-18,2015-08-07,33732
EXH002,MUS079,STF466,Lights of Space,Traveling,2013-06-12,2013-07-30,72330
EXH003,MUS033,STF116,Visions of the Future,Thematic,2020-06-18,2020-11-04,45159
EXH004,MUS063,STF299,Textures of Space,Permanent,2015-01-15,2015-06-27,24218
EXH005,MUS077,STF372,Textures of Modernity,Retrospective,2015-05-31,2015-11-03,111539
EXH006,MUS014,STF287,Visions of Light,Thematic,2016-03-09,2016-06-11,87200
EXH007,MUS033,STF366,Reflections of Light,Permanent,2011-11-12,2011-12-15,128283
EXH008,MUS064,STF227,Worlds of Modernity,Traveling,2023-04-05,2023-08-24,28253
EXH009,MUS063,STF385,Lines of Space,Retrospective,2023-08-10,2024-01-19,12036
EXH010,MUS076,STF101,Patterns of Time,Permanent,2022-11-29,2023-01-22,63551
EXH011,MUS087,STF432,Dreams of Modernity,Traveling,2018-10-31,2018-12-10,116407
EXH012,MUS074,STF536,Forms of Silence,Retrospective,2010-11-02,2011-03-14,7721
EXH013,MUS024,STF025,Worlds of Modernity,Traveling,2017-05-18,2017-07-12,109041
EXH014,MUS094,STF468,Lines of Color,Traveling,2015-09-08,2016-01-07,93373
EXH015,MUS058,STF049,Worlds of Movement,Traveling,2017-04-12,2017-09-06,43098
EXH016,MUS099,STF330,Worlds of Origins,Temporary,2019-01-01,2019-04-30,132029
EXH017,MUS043,STF361,Forms of Time,Temporary,2023-10-29,2024-04-13,83977
EXH018,MUS013,STF093,Forms of Movement,Thematic,2019-02-09,2019-05-30,131336
EXH019,MUS097,STF392,Rhythms of the City,Retrospective,2014-07-15,2014-10-20,92906
EXH020,MUS047,STF164,Dreams of Silence,Permanent,2013-10-12,2014-02-01,30223
EXH021,MUS040,STF519,Worlds of Modernity,Thematic,2022-07-28,2022-11-10,142100
EXH022,MUS080,STF078,Stories of the Future,Permanent,2014-06-16,2014-08-08,107073
EXH023,MUS019,STF349,Forms of Movement,Retrospective,2021-12-13,2022-04-12,35873
EXH024,MUS095,STF301,Reflections of Time,Permanent,2023-10-05,2024-03-28,85891
EXH025,MUS006,STF252,Worlds of Silence,Traveling,2022-04-17,2022-06-25,7909
EXH026,MUS089,STF225,Shadows of Nature,Retrospective,2015-07-03,2015-09-28,57614
EXH027,MUS038,STF250,Stories of Color,Retrospective,2010-06-20,2010-11-20,109665
EXH028,MUS073,STF197,Lights of Origins,Thematic,2019-04-01,2019-06-17,105757
EXH029,MUS050,STF268,Rhythms of Modernity,Retrospective,2018-03-01,2018-06-06,98053
EXH030,MUS041,STF554,Dreams of Nature,Temporary,2018-01-04,2018-02-22,85321
EXH031,MUS032,STF552,Forms of Space,Permanent,2022-12-26,2023-02-26,134025
EXH032,MUS069,STF322,Textures of Silence,Traveling,2012-05-08,2012-08-04,146246
EXH033,MUS060,STF276,Forms of Nature,Retrospective,2022-11-18,2022-12-31,115785
EXH034,MUS056,STF067,Shadows of Modernity,Thematic,2013-11-04,2013-12-09,118563
EXH035,MUS008,STF356,Lights of Light,Permanent,2020-09-09,2020-11-15,93907
EXH036,MUS036,STF259,Echoes of Space,Retrospective,2010-08-14,2011-01-16,35958
EXH037,MUS085,STF463,Reflections of Nature,Traveling,2016-12-13,2017-05-29,87647
EXH038,MUS066,STF417,Worlds of Modernity,Thematic,2013-03-27,2013-09-11,83433
EXH039,MUS079,STF055,Forms of Color,Permanent,2018-01-14,2018-07-13,19615
EXH040,MUS068,STF424,Patterns of Time,Temporary,2013-08-13,2013-10-31,48013
EXH041,MUS004,STF507,Forms of the City,Permanent,2012-09-05,2012-12-28,25683
EXH042,MUS090,STF397,Reflections of Modernity,Retrospective,2019-02-21,2019-06-28,37309
EXH043,MUS024,STF099,Forms of Memory,Temporary,2016-12-24,2017-04-23,113816
EXH044,MUS012,STF189,Journeys of Silence,Temporary,2015-11-05,2016-03-16,60412
EXH045,MUS082,STF084,Dreams of Light,Permanent,2017-08-14,2018-01-06,138328
EXH046,MUS078,STF063,Journeys of Color,Traveling,2022-06-30,2022-08-14,26032
EXH047,MUS068,STF013,Stories of Color,Retrospective,2010-02-08,2010-06-01,81285
EXH048,MUS073,STF384,Visions of Modernity,Temporary,2011-07-23,2011-10-05,131600
EXH049,MUS028,STF354,Stories of Origins,Thematic,2012-03-05,2012-05-13,99085
EXH050,MUS057,STF182,Patterns of the City,Retrospective,2021-05-19,2021-07-26,8953
EXH051,MUS069,STF124,Patterns of Color,Permanent,2016-12-28,2017-04-11,92502
EXH052,MUS076,STF531,Rhythms of the City,Retrospective,2013-10-03,2013-11-27,51635
EXH053,MUS079,STF346,Patterns of the City,Retrospective,2020-03-13,2020-08-30,118423
EXH054,MUS071,STF068,Echoes of Light,Traveling,2017-08-03,2017-11-04,38062
EXH055,MUS025,STF414,Worlds of Silence,Permanent,2010-12-07,2011-04-07,126940
EXH056,MUS091,STF102,Lines of Light,Traveling,2021-08-29,2021-10-21,139238
EXH057,MUS090,STF545,Patterns of Modernity,Thematic,2021-09-13,2022-01-21,53673
EXH058,MUS018,STF459,Journeys of Memory,Retrospective,2014-06-11,2014-09-23,106968
EXH059,MUS011,STF503,Reflections of the Future,Permanent,2010-07-15,2010-12-17,85283
EXH060,MUS079,STF399,Lights of Silence,Traveling,2016-11-10,2017-04-16,15448
EXH061,MUS025,STF092,Lights of Color,Thematic,2016-11-20,2017-05-19,143288
EXH062,MUS041,STF050,Stories of Light,Permanent,2021-12-25,2022-01-31,80415
EXH063,MUS046,STF551,Reflections of Nature,Thematic,2011-03-06,2011-07-25,138359
EXH064,MUS066,STF380,Forms of the City,Permanent,2011-01-02,2011-03-27,120861
EXH065,MUS092,STF328,Stories of Nature,Retrospective,2011-08-21,2011-11-11,55194
EXH066,MUS079,STF016,Patterns of Light,Temporary,2011-01-06,2011-05-13,31495
EXH067,MUS031,STF339,Journeys of Color,Temporary,2013-12-21,2014-04-29,98460
EXH068,MUS006,STF160,Forms of the Future,Thematic,2013-03-06,2013-06-07,68681
EXH069,MUS074,STF318,Reflections of Light,Retrospective,2014-08-06,2014-11-13,3681
EXH070,MUS049,STF285,Reflections of the Future,Traveling,2014-04-02,2014-09-03,3734
EXH071,MUS051,STF043,Rhythms of Space,Temporary,2020-01-28,2020-03-30,19487
EXH072,MUS015,STF163,Rhythms of Time,Temporary,2020-12-16,2021-02-01,141755
EXH073,MUS095,STF263,Dreams of the City,Thematic,2018-12-07,2019-03-19,76088
EXH074,MUS034,STF112,Journeys of Modernity,Temporary,2012-09-05,2013-01-14,23676
EXH075,MUS026,STF131,Lights of Silence,Retrospective,2021-08-16,2021-09-24,126519
EXH076,MUS030,STF039,Echoes of Time,Permanent,2018-09-15,2018-12-01,18668
EXH077,MUS079,STF380,Worlds of the Future,Retrospective,2019-10-29,2020-01-03,11761
EXH078,MUS099,STF194,Rhythms of Origins,Permanent,2014-09-20,2015-01-09,4725
EXH079,MUS033,STF180,Stories of Memory,Temporary,2017-11-08,2018-04-05,15792
EXH080,MUS020,STF299,Reflections of the Future,Temporary,2021-05-04,2021-06-19,49224
EXH081,MUS043,STF450,Rhythms of Nature,Permanent,2010-07-27,2010-12-16,65428
EXH082,MUS037,STF165,Patterns of Origins,Traveling,2013-03-20,2013-09-06,15867
EXH083,MUS009,STF420,Echoes of Light,Permanent,2021-08-14,2022-01-27,45542
EXH084,MUS048,STF040,Textures of Memory,Temporary,2013-03-21,2013-05-16,2547
EXH085,MUS073,STF060,Reflections of Color,Permanent,2018-09-10,2019-03-04,59856
EXH086,MUS005,STF076,Lines of Light,Thematic,2010-06-12,2010-11-10,102201
EXH087,MUS079,STF397,Journeys of Light,Retrospective,2020-02-01,2020-05-01,66547
EXH088,MUS059,STF491,Dreams of Light,Thematic,2013-06-08,2013-11-01,95407
EXH089,MUS037,STF179,Worlds of the City,Temporary,2018-09-18,2018-12-22,97489
EXH090,MUS056,STF308,Textures of Color,Retrospective,2013-03-25,2013-05-04,108576
EXH091,MUS030,STF412,Textures of Origins,Temporary,2012-10-21,2013-02-18,107376
EXH092,MUS059,STF464,Reflections of the Future,Retrospective,2019-12-16,2020-04-23,96305
EXH093,MUS086,STF409,Dreams of Memory,Temporary,2012-12-26,2013-06-09,65489
EXH094,MUS025,STF200,Worlds of Space,Retrospective,2023-11-18,2024-03-20,144708
EXH095,MUS048,STF315,Forms of the Future,Temporary,2014-10-16,2015-02-23,124268
EXH096,MUS084,STF464,Echoes of Origins,Permanent,2016-09-26,2017-02-08,53274
EXH097,MUS071,STF161,Worlds of Memory,Retrospective,2018-08-15,2019-01-24,48268
EXH098,MUS089,STF212,Shadows of Color,Temporary,2018-08-28,2019-02-19,72649
EXH099,MUS073,STF160,Textures of Light,Temporary,2019-01-06,2019-07-02,40500
EXH100,MUS060,STF252,Reflections of Memory,Traveling,2012-12-05,2013-05-08,140090
EXH101,MUS005,STF100,Textures of Light,Permanent,2011-06-20,2011-08-10,3272
EXH102,MUS043,STF093,Forms of Color,Temporary,2017-01-10,2017-05-11,40479
EXH103,MUS009,STF372,Worlds of Movement,Thematic,2023-12-24,2024-04-12,118077
EXH104,MUS091,STF180,Shadows of Memory,Permanent,2016-07-01,2016-10-16,148295
EXH105,MUS021,STF426,Stories of the City,Thematic,2012-08-28,2013-02-10,108395
EXH106,MUS071,STF481,Stories of Origins,Permanent,2016-04-22,2016-07-24,39442
EXH107,MUS097,STF041,Shadows of Time,Retrospective,2013-01-15,2013-05-22,100449
EXH108,MUS099,STF021,Shadows of the City,Retrospective,2023-02-23,2023-06-25,48666
EXH109,MUS063,STF353,Shadows of Color,Traveling,2017-08-15,2017-10-05,19059
EXH110,MUS080,STF308,Stories of the City,Permanent,2018-10-30,2019-01-06,52676
EXH111,MUS038,STF086,Rhythms of Memory,Permanent,2017-12-15,2018-05-20,110507
EXH112,MUS033,STF197,Stories of Memory,Thematic,2021-07-07,2021-10-16,7145
EXH113,MUS022,STF054,Shadows of Memory,Traveling,2015-05-11,2015-08-27,118684
EXH114,MUS006,STF280,Reflections of Memory,Traveling,2020-04-10,2020-05-30,145513
EXH115,MUS080,STF011,Visions of the City,Traveling,2022-11-13,2022-12-17,100790
EXH116,MUS049,STF398,Worlds of Silence,Retrospective,2010-10-22,2011-01-29,88984
EXH117,MUS055,STF417,Dreams of Origins,Traveling,2017-09-03,2017-11-05,69573
EXH118,MUS063,STF289,Lights of Nature,Retrospective,2015-12-25,2016-02-14,23228
EXH119,MUS041,STF522,Lines of Light,Temporary,2012-07-18,2012-08-22,29062
EXH120,MUS023,STF383,Worlds of Time,Thematic,2011-06-17,2011-08-25,63113
EXH121,MUS010,STF010,Lines of Time,Thematic,2010-04-21,2010-08-16,19450
EXH122,MUS081,STF472,Stories of Modernity,Thematic,2017-06-03,2017-07-30,32975
EXH123,MUS018,STF205,Visions of Space,Permanent,2011-10-27,2012-01-12,25008
EXH124,MUS088,STF239,Visions of the Future,Permanent,2014-09-19,2014-10-31,102423
EXH125,MUS068,STF198,Dreams of Light,Retrospective,2020-09-04,2020-11-23,49775
EXH126,MUS094,STF063,Shadows of Movement,Thematic,2019-12-05,2020-02-20,2655
EXH127,MUS026,STF270,Echoes of the City,Thematic,2013-03-24,2013-09-08,50635
EXH128,MUS090,STF078,Textures of Time,Traveling,2014-03-22,2014-06-07,60694
EXH129,MUS082,STF304,Stories of the Future,Thematic,2023-06-29,2023-11-11,75816
EXH130,MUS033,STF354,Worlds of the Future,Permanent,2015-05-27,2015-11-08,66973
